ID,sew,gully
0,0.580023657,1.075937503
1,0.591522749,1.115443362
2,1.229013969,1.984137769
4,0.675505141,1.308437839
8,1.297919452,1.940096434
10,9,9
12,9,9
14,9,9
18,9,2
30,9,6
40,0.546348783,1.080877892
80,20,20
82,20,20
84,20,20
90,20,20
100,1.12328068,1.294446045
102,4.028312196,6.61884725
104,1.437654956,2.623355056
108,4.001778495,6.822306587
110,1.307377608,1.414848189
180,20,20
200,0.517372216,0.991862835
202,1.217257571,1.823360876
204,0.602698849,1.139363197
208,1.312166188,1.930814738
210,6.5,6.5
280,20,20
300,0.690712208,1.362955865
380,20,20
400,0.545896461,1.070137943
410,9,9
440,1.7,4
600,0.530438855,1.036704681
800,0.51363887,1.063528823
802,1.096098509,1.976381045
804,0.508850124,1.02151205
808,1.416359373,1.895133095
810,9,9
840,0.532746717,1.102834084
842,0.532746717,1.102834084
00C,1.420165429,1.946685426
A00,0.513502543,0.999565392
C00,2,1.114883887
CCC,0.508624741,0.993075323
