,Error_Based_Variance,Model_800_Based_Variance
chi_density_sum_squares,4.6364385408364746e-07,3.6979719743840354e-07
chi_gradient,1.0728516739926717,1.2525832495797626
chi_intercept,17.50154280545544,19.013777526711685
cumarea95,3817602.158291425,11535888.197435942
cumarea96,11715164.277890647,28578521.974721745
cumarea97,41983298.31206104,104352831.34421638
cumarea98,1155660155.933027,907418964.923779
cumarea99,26439028342.667072,33865127851.13365
elev02,0.003188711972277277,0.4208738483406454
elev08,0.00044953185349253807,0.02682126587621058
elev100,0.030410821762933873,0.0014222590092097555
elev23,0.00038650170791997885,0.006899041292496817
elev30,0.001160387771177148,0.018659056487223373
elev36,0.0017900916322680727,0.004807486632464805
elev50,0.0009936496110358592,0.00239542076253733
elev75,0.0008278049828674123,0.0010943865869000318
elev85,0.0008751636778088805,0.0018947944677512637
elev90,0.0009837722240140737,0.0030015845761833773
elev96,0.001168523393484209,0.0011381141926699047
four_cell_nodes,9117.026510025064,33541.917137807235
hypsometric_integral,2.5197644269783042e-08,3.6143819305373914e-08
mean_elevation,9.484397471174236e-07,0.0015214701585359164
mean_elevation_chi_area,2.8612661485615045e-06,0.013520821969854907
mean_gradient,3.4591610075455015e-10,2.587597239378139e-07
mean_gradient_chi_area,2.0372625059865175e-09,2.4058070540868656e-06
one_cell_nodes,5870.014411027569,16102.315606471451
three_cell_nodes,9625.199993734339,32012.34551063324
two_cell_nodes,8078.811873433585,28257.614629127067
var_elevation,0.14091706329454365,325.3690667012762
var_elevation_chi_area,0.015020006246304196,83.95823338493143
var_gradient,4.4698627079262954e-11,7.17523189253873e-08
var_gradient_chi_area,1.795033120830868e-10,6.928847713006435e-07
